"id","game_title","year"
"485","Wave Race 64","1996"
"486","SOCOM II: U.S. Navy SEALs","2003"
"487","WWE SmackDown! vs. RAW 2006","2005"
"488","inFAMOUS","2009"
"489","Pac-Man Collection","2001"
"490","Mass Effect","2007"
"491","WarioWare: Smooth Moves","2006"
"492","Cooking Mama: Cook Off","2007"
"864","Devil May Cry 2","2003"
"378","FIFA Soccer 2004","2004"
"471","wwe Smackdown vs. Raw 2006","2006"
"493","Super Mario World 2: Yoshi's Island","2002"
"495","Titanfall","2014"
"496","Sonic Mega Collection Plus","2004"
"497","Sega Superstars Tennis","2008"
"498","World Soccer Winning Eleven 7 International","2003"
"499","Need for Speed: Most Wanted","2012"
"500","Hot Shots Golf 3","2001"
"501","Call of Duty: Finest Hour","2004"
"502","Zumba Fitness 2","2011"
"503","Syphon Filter","1999"
"504","Imagine: Babyz","2007"
"505","Colin McRae Rally","1998"
"507","Madden NFL 13","2012"
"508","The Elder Scrolls III: Morrowind","2002"
"509","Mortal Kombat","2011"
"510","F-Zero","1990"
"511","Yoshi's Story","1997"
"512","Command & Conquer: Red Alert","1996"
"513","Skylanders: Spyro's Adventure","2011"
"516","BioShock","2007"
"517","Madden NFL 10","2009"
"518","Medal of Honor","2010"
"519","WWE SmackDown! vs. Raw","2002"
"520","Metroid Prime","2002"
"521","Finding Nemo","2003"
"522","Myst","1994"
"523","Need for Speed: Hot Pursuit","2010"
"524","Imagine: Fashion Designer","2007"
"525","WWE SmackDown! Here Comes the Pain","2003"
"526","Star Wars: The Force Unleashed","2008"
"527","Yoshi's Island DS","2006"
"528","Hot Shots Golf","1997"
"529","Killzone 3","2011"
"530","A Bug's Life","1998"
"531","WWF SmackDown! Just Bring It","2001"
"532","Dragon Quest V: Tenkuu no Hanayome","1992"
"533","Mortal Kombat Trilogy","1996"
"535","NBA Street","2001"
"536","Professor Layton and the Last Specter","2009"
"537","Monster Hunter Tri","2011"
"538","Jak II","2003"
"539","inFAMOUS: Second Son","2014"
"540","Ratchet & Clank: Going Commando","2003"
"541","Tekken 6","2009"
"542","The Sims","2003"
"543","Sonic and the Secret Rings","2007"
"544","Saints Row: The Third","2011"
"545","Missile Command","1980"
"546","Mario Paint","1992"
"548","Pok�mon Stadium 2","2000"
"549","Metroid","1986"
"551","Call of Duty 3","2006"
"552","The Legend of Zelda: A Link to the Past","2002"
"553","Onimusha: Warlords","2001"
"554","Mortal Kombat X","2015"
